user_id,query,run,statement_id,state,submit_epoch_rel_s,end_epoch_rel_s,wall_clock_s,execution_time_ms,queue_time_ms,total_time_ms,compilation_time_ms,data_scanned_bytes,rows_read,rows_returned,spill_to_disk_bytes,result_from_cache,warehouse_size,dbus_consumed_estimated
4,q39a,1,01f19433-79a0-17b9-841e-dd1dee4937b4,SUCCEEDED,2578.605,2596.014,17.41,10505,23,14561,4033,134400064,24300079,14551,0,False,2X-Small,0.011672
5,q39a,1,01f19433-799f-1c3c-abe9-c992ac87279f,SUCCEEDED,2578.574,2598.39,19.82,12172,26,15944,3746,110310238,24300079,14551,0,False,2X-Small,0.013524
2,q39a,1,01f19433-79a7-1333-85f3-d16b6dd66866,SUCCEEDED,2578.639,2598.285,19.65,12468,19,16303,3816,99098231,24300079,14551,0,False,2X-Small,0.013853
1,q39a,1,01f19433-79a8-1aab-a69f-e5fd15c7e3ca,SUCCEEDED,2578.666,2598.312,19.65,12716,31,16374,3627,99098231,24300079,14551,0,False,2X-Small,0.014129
3,q39a,1,01f19433-799e-143f-913a-9712b7eb257e,SUCCEEDED,2578.569,2598.974,20.41,13006,33,16710,3671,99098231,24300079,14551,0,False,2X-Small,0.014451
4,q39b,1,01f19433-868d-1e7c-8819-7c4a70c049ba,SUCCEEDED,2599.977,2605.128,5.15,2932,17,3671,722,99098231,24300079,594,0,False,2X-Small,0.003258
4,q52,1,01f19433-8a91-162f-94e0-b20757137006,SUCCEEDED,2607.018,2613.306,6.29,3925,28,5377,1424,520764782,88798449,100,0,False,2X-Small,0.004361
2,q39b,1,01f19433-8781-161b-9164-cc06d01d1a9e,SUCCEEDED,2601.664,2616.083,14.42,8838,1639,12882,2405,99098231,24300079,594,0,False,2X-Small,0.00982
3,q39b,1,01f19433-88d1-1933-98e6-ac08ec1d18d3,SUCCEEDED,2602.857,2616.681,13.82,8711,29,10597,1857,99098231,24300079,594,0,False,2X-Small,0.009679
5,q39b,1,01f19433-8772-1311-94e3-6c7cb7d9e7b5,SUCCEEDED,2601.617,2616.517,14.9,9610,1740,13772,2422,99098231,24300079,594,0,False,2X-Small,0.010678
1,q39b,1,01f19433-8784-1e22-b12f-f7fdb043bde2,SUCCEEDED,2601.687,2617.043,15.36,10018,1616,14149,2515,99098231,24300079,594,0,False,2X-Small,0.011131
2,q52,1,01f19433-910c-1b1e-be3c-a0d662df9815,SUCCEEDED,2617.87,2623.466,5.6,3429,25,4631,1177,520896981,88798449,100,0,False,2X-Small,0.00381
3,q52,1,01f19433-915f-188e-8b83-e575ffe1a439,SUCCEEDED,2618.43,2624.203,5.77,3280,24,4979,1675,520896981,88798449,100,0,False,2X-Small,0.003644
