user_id,query,run,statement_id,state,submit_epoch_rel_s,end_epoch_rel_s,wall_clock_s,execution_time_ms,queue_time_ms,total_time_ms,compilation_time_ms,data_scanned_bytes,rows_read,rows_returned,spill_to_disk_bytes,result_from_cache,warehouse_size,dbus_consumed_estimated
9,q24a,1,01f1942b-ccd1-17ae-98fa-4a0b8c9844bf,SUCCEEDED,2.609,7.699,5.09,1173,57,4752,3522,316020,385,0,0,False,2X-Small,0.001303
5,q24a,1,01f1942b-cc47-11fd-b009-f1302895d5eb,SUCCEEDED,1.698,8.352,6.65,2037,63,6255,4155,10740,0,0,0,False,2X-Small,0.002263
1,q24a,1,01f1942b-cc47-1eea-919a-6e46eb383d61,SUCCEEDED,1.698,8.498,6.8,2189,88,6281,4004,316020,385,0,0,False,2X-Small,0.002432
7,q24a,1,01f1942b-cca8-1469-a7b2-d47dd22dcb87,SUCCEEDED,2.341,9.172,6.83,2165,64,6507,4278,10740,0,0,0,False,2X-Small,0.002406
6,q24a,1,01f1942b-ccd1-15dd-a253-fb1097384f11,SUCCEEDED,2.601,9.387,6.79,2573,57,6487,3857,316020,385,0,0,False,2X-Small,0.002859
8,q24a,1,01f1942b-ccd8-15a9-b2c1-6549eecdb0b7,SUCCEEDED,2.652,9.942,7.29,2564,40,6962,4358,316020,385,0,0,False,2X-Small,0.002849
10,q24a,1,01f1942b-cc4a-10c5-bbce-742b541847d2,SUCCEEDED,1.716,11.07,9.35,2179,70,7250,5001,316020,385,0,0,False,2X-Small,0.002421
2,q24a,1,01f1942b-ccaa-1deb-90d0-e637322b6e42,SUCCEEDED,2.36,11.261,8.9,3271,51,7139,3817,316020,385,0,0,False,2X-Small,0.003634
4,q24a,1,01f1942b-cccf-1be4-8276-fec748bc51c4,SUCCEEDED,2.597,11.395,8.8,2705,29,7258,4524,10740,0,0,0,False,2X-Small,0.003006
3,q24a,1,01f1942b-cc8b-1030-a6e9-6452c3594e42,SUCCEEDED,2.145,11.509,9.36,3490,130,8150,4530,316020,385,0,0,False,2X-Small,0.003878
9,q24b,1,01f1942b-d02b-1c86-a14d-c3f812931382,SUCCEEDED,8.229,12.861,4.63,1092,200,4185,2893,10740,0,0,0,False,2X-Small,0.001213
1,q24b,1,01f1942b-d0a1-1ba7-aa51-d965f537dd81,SUCCEEDED,9.009,14.048,5.04,1680,34,3936,2222,10740,0,0,0,False,2X-Small,0.001867
5,q24b,1,01f1942b-d08f-1832-9172-7f846d588527,SUCCEEDED,8.888,15.513,6.63,2023,343,5696,3330,316020,43,0,0,False,2X-Small,0.002248
6,q24b,1,01f1942b-d12e-1b01-abcd-1652ba829e51,SUCCEEDED,9.929,16.005,6.08,1506,466,4983,3011,10740,0,0,0,False,2X-Small,0.001673
8,q24b,1,01f1942b-d17e-10da-8835-3e59a95a2e16,SUCCEEDED,10.453,17.059,6.61,3450,580,6046,2016,316020,43,0,0,False,2X-Small,0.003833
10,q24b,1,01f1942b-d22a-189c-bbc2-0da480def35f,SUCCEEDED,11.583,17.276,5.69,1386,23,5292,3883,10740,0,0,0,False,2X-Small,0.00154
4,q24b,1,01f1942b-d25d-1e25-9c42-9afefa8c273d,SUCCEEDED,11.912,17.969,6.06,1806,92,5508,3610,10740,0,0,0,False,2X-Small,0.002007
7,q24b,1,01f1942b-d10e-1e58-a1ac-4562e54395a7,SUCCEEDED,9.719,18.528,8.81,2740,19,6963,4204,10740,0,0,0,False,2X-Small,0.003044
2,q24b,1,01f1942b-d247-1ede-951e-ad492fac4432,SUCCEEDED,11.767,20.567,8.8,3084,29,7188,4075,10740,0,0,0,False,2X-Small,0.003427
3,q24b,1,01f1942b-d26d-196b-a8bf-c3ff1ff3433c,SUCCEEDED,12.017,20.81,8.79,2826,24,7704,4854,316020,43,0,0,False,2X-Small,0.00314
9,q34,1,01f1942b-d33d-1b9e-aa4a-d095d073517a,SUCCEEDED,13.383,22.616,9.23,6028,18,8520,2474,17292773,127039,218,0,False,2X-Small,0.006698
1,q34,1,01f1942b-d3f1-112d-aeba-551d1011f4a7,SUCCEEDED,14.557,23.432,8.87,4931,28,7337,2378,17292773,127039,218,0,False,2X-Small,0.005479
5,q34,1,01f1942b-d4da-1cf0-8332-6479959127fe,SUCCEEDED,16.069,24.968,8.9,4985,27,6855,1843,17292773,127039,218,0,False,2X-Small,0.005539
